,domain,question,context,answer_text,span_start,span_end
0,wiki,Qual é o nome da rede de televisão comercial aberta brasileira fundada em 1981?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Sistema Brasileiro de Televisão,0,31
6,wiki,Qual é o nome da rede de televisão brasileira fundada em 1981?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Sistema Brasileiro de Televisão,0,31
11,wiki,Como é chamado o título de capitalização do SBT?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Tele Sena,1448,1457
15,wiki,O SBT Licensing é responsável por quê?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",licenciadora de marcas,1329,1351
16,wiki,O que Jequiti Cosméticos faz?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",empresa de cosméticos,1482,1503
19,wiki,Quem fundou o SBT?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Silvio Santos,164,177
20,wiki,Quando foi fundada a Rede SBT?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",19 de agosto de 1981,103,123
21,wiki,Qual era o nome do canal 11 do Rio de Janeiro antes de o SBT nascer?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",TVS,1052,1055
24,wiki,Qual empresa de cosméticos é membro do SBT?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Jequiti Cosméticos,1461,1479
25,wiki,Qual rede foi formada a partir das concessões cassadas da extinta Rede Tupi?,"Sistema Brasileiro de Televisão ( SBT ) é uma rede de televisão comercial aberta brasileira fundada em 19 de agosto de 1981 pelo empresário e animador de televisão Silvio Santos. A emissora surgiu após uma concorrência pública feita pelo Governo Federal para a criação de duas novas redes de televisão, sendo o SBT criado a partir de algumas concessões cassadas da extinta Rede Tupi, sendo estas a de São Paulo ( antiga matriz da Rede Tupi ), a de Porto Alegre e a de Belém ( as antigas concessões da rede Tupi em Belo Horizonte, Fortaleza, Rio de Janeiro, Recife, além da antiga concessão da matriz da Rede Excelsior em São Paulo, deram origem a Rede Manchete, antecessora da RedeTV! ). A rede foi fundada no mesmo dia em que o contrato de concessão foi assinado, sendo que o ato foi transmitido ao vivo pela emissora, fazendo com que esse fosse o seu primeiro programa exibido. Antes de adquirir as concessões das três emissoras que formariam o SBT, o Grupo Silvio Santos já tinha desde 1976 a concessão do canal 11 do Rio de Janeiro, conhecido como TVS, o que foi um passo fundamental para dar vida ao SBT. Além do SBT, o Grupo Silvio Santos também é formado por outras empresas de grande sucesso como SBT Filmes ( empresa cinematográfica ), SBT Music ( gravadora musical ), SBT Vídeos ( vídeos na internet ), SBT Licensing ( licenciadora de marcas ), Liderança Capitalização ( responsável pela emissão do título de capitalização conhecido como Tele Sena ), Jequiti Cosméticos ( empresa de cosméticos ), Hotel Jequitimar ( hotelaria ), entre outras. É a maior rede de televisão do país, com 114 emissoras afiliadas, a no ranking mundial de 2012 e atualmente, a mais vista do país em audiência. Durante grande parte de sua existência, ocupou a vice - liderança no ranking de audiência, exceto por dois períodos quando",Rede Manchete,647,660
